Name,SMILES,Enthalpy,Entropy,Cp_300,Cp_400,Cp_500,Cp_600,Cp_700,Cp_800,Cp_900,Cp_1000,Cp_1100,Cp_1200,Cp_1300,Cp_1400,Cp_1500
DTXSID00771849,FC(F)C(F)(F)COC1=CSC=C1,-198.7260384488854,109.8979394595922,45.97702275637626,56.99354725228348,65.90145678530898,72.8469512433075,78.28097891943229,82.60980228429362,86.12500690311926,89.02510257996276,91.44701794177688,93.48870942220012,95.22299162999127,96.70571336688499,97.98070113356968
DTXSID00781089,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCS,-488.44361775620393,178.84131783314908,104.61034098054402,130.98718527796584,153.62815080905787,172.09434576212115,187.11237328158137,199.48124782765862,209.80174116003528,218.4973363278186,225.8747720721455,232.167006438664,237.55790015805943,242.196053195153,246.20309871866462
DTXSID00793925,FC(SC1=CC=CC=C1)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-752.1713319883643,187.34940764988556,113.50727964221124,135.7312496666094,152.96008567301695,165.9815222360264,175.83536880224977,183.40185690007246,189.31923423589996,194.02912099420956,197.8365921338452,200.95594989477794,203.54113952587107,205.70523972715046,207.5329883083286
DTXSID00833310,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCSCCOC(=O)C=C,-519.8506791709417,160.26760611711566,87.24259452751993,106.07407121554841,121.46026483167542,133.588194291913,143.16516491889115,150.84997335096085,157.12332538055009,162.31729739150848,166.66453837936052,170.33405744602328,173.45317900063714,176.12059145449018,178.41433107266215
DTXSID00843777,FC(=C(S)S)C(F)(F)C(F)(F)F,-268.912598648107,112.55267335389667,45.843794746347946,52.920939690234924,58.22552474918282,62.20112805271574,65.21998055766082,67.55281954852174,69.38623839029177,70.84880555818599,72.03081750652136,72.99713468678637,73.79530640719317,74.46079849471909,75.02045329066202
DTXSID00880389,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,-1039.0806648015134,197.74159799250364,121.70441104896923,143.82993315974045,160.90790823178057,173.77487256965048,183.4832622327433,190.9157542240801,196.70943781062354,201.3046120134471,205.00566774934214,208.02665028351146,210.52136187877065,212.60267495748204,214.35500358532383
DTXSID00893414,OC(=O)C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(F)S(O)(=O)=O)C(F)(F)F,-832.1390946316936,164.47301560438802,91.21975247464128,106.93899410099509,118.76830313197391,127.52028592683048,134.01103546165544,138.89718526358763,142.6492383815246,145.58967788302093,147.93772680864816,149.84391382037106,151.41354545819857,152.72192019180156,153.8240782061868
DTXSID00893419,FC(F)C(F)(F)C(F)(F)C(F)(F)CS,-403.29442703935456,119.2610343345753,52.085998239986154,61.729036631826965,69.35695644190564,75.22238364910598,79.74763025299282,83.29670147249519,86.13120715615494,88.43133046651882,90.32242762458141,91.89412811455031,93.21239371086894,94.32697839188386,95.276147531348
DTXSID00893454,OS(=O)(=O)C1=CC=C(OC(F)(F)C(\F)=C(/F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,-632.5694053105284,168.89761152681524,96.16052672305405,115.43918768103866,130.3887439422524,141.71841322866803,150.32580137288036,156.96678677011369,162.18917879483192,166.37136725575888,169.77400499599926,172.57973272729478,174.9196267584796,176.89007305228523,178.56352044028858
DTXSID00895498,OCCCSC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-496.52854080796,138.28979661493165,68.54415412311852,82.09471022707558,92.99857688299122,101.47466584093763,108.07647309384484,113.30765036611724,117.53344015214776,121.00398104133086,123.89181694553018,126.31970406531448,128.37807620663773,130.13560089471304,131.64565458367144
DTXSID00895519,OS(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-512.478463185598,124.53295245053637,56.94831492150043,66.17996733505827,73.03395807644439,78.03779208138572,81.70422636332303,84.43540168956028,86.5137095166099,88.12968899856267,89.41128352956932,90.44547087740477,91.29258225061707,91.99542986442468,92.58508895836891
DTXSID00895736,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SSC1=CC=CC=C1,-396.10212728375234,143.02111227850978,73.93709680418542,89.05224451390743,100.80173802403193,109.71016442679854,116.50005482904906,121.7705242834578,125.94584736216439,129.31422005883775,132.0727649107244,134.35984562126418,136.2755394876102,137.89424252173436,139.27252992640248
DTXSID00895993,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC2=CC=CC=C2S1,-384.17942142364546,138.6239681389673,73.15227739800628,89.48599363772836,102.30377271810733,112.07456551967576,119.53703208191618,125.32724698283981,129.9056014799233,133.5894291709912,136.59778306943164,139.08512827858115,141.1633043752468,142.91533748834863,144.4041911227939
DTXSID00896389,CSC1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,-401.6891133029382,148.74118281867305,80.43056211018425,97.92802931352286,111.99870472512562,123.00340475386677,131.63690854539752,138.52064159504963,144.10811697136882,148.7132025965168,152.55480955546705,155.79033497647637,158.536833069705,160.88389690566495,162.9016187794934
DTXSID00896400,CC1=C(SC(C)(C)C)C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F,-414.65676760953534,163.46431363231176,97.20789212440069,119.41978083986022,137.6614889254499,152.19644154551128,163.8081340500812,173.22891843981873,180.99619296024096,187.48320794724762,192.9535015000873,197.60063813078037,201.57237184183805,204.98480800967846,207.93096495351494
DTXSID00896405,CCCSC1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,-409.94879667085246,165.3856810649081,95.66460329081062,118.05659689688859,136.5877800506016,151.36911392466794,163.16757420860455,172.7265176980578,180.59620197678834,187.15993607233312,192.68847263675679,197.3804461246633,201.3871742007782,204.82728631560607,207.79560734381982
DTXSID00896425,CC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(=O)C(C)(C)C,-435.79426874539035,166.70961515189362,100.75142329358516,123.56663552602204,142.23578953711157,157.071972654613,168.8971390256499,178.47222967586663,186.3541564755545,192.92888965218384,198.46814379459065,203.1707787839035,207.18805027611236,210.63844510921336,213.61665173717023
DTXSID00896440,CC(C)CS(=O)(=O)C1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,-476.7411136902727,169.66942731819495,102.26141636153159,125.98420505737737,145.44175075064427,160.88480125131323,173.1620377173947,183.0733455415113,191.20781045602206,197.9748842651763,203.6628363107492,208.48213780114312,212.59223901946325,216.11747304594016,219.15675236141828
DTXSID00896445,CCCCS(=O)C1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,-433.0849640443176,176.3084206842185,104.51139327753863,129.02570584347797,149.431620323004,165.76063818517855,178.8266152346375,189.43487514050142,198.1838106049543,205.49101437379912,211.65222680336635,216.8851861864512,221.35639877737063,225.19685902484645,228.51157964334348
DTXSID00896723,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1SC2C3=C(C=CC=C3)C1C1=C2C=CC=C1,-344.5707610146849,158.88944301336548,95.7640003987176,120.9853838938721,141.2282845307456,156.88626288164252,169.0201057289472,178.58126862787606,186.2583934072538,192.52448652705968,197.70689037014515,202.03878939743367,205.69172297158946,208.79544360516402,211.4502548276117
DTXSID00904751,OS(=O)(=O)C(F)(F)C(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(O)(=O)=O)C(F)(F)F,-959.723056341829,183.5009139198815,106.68057674206162,125.33311229922275,139.45391096674425,149.9192773779253,157.69049658373777,163.55215501381173,168.0651268915817,171.6120127557028,174.4520945561733,176.7632967339977,178.67028202997113,180.26245409005114,181.6054049271293
DTXSID00953269,CCOC(OS(=O)(=O)C1=CC=C(C)C=C1)C(F)(F)C(F)(F)F,-384.33960274110564,152.74545046488464,82.6351649323714,102.1934806362102,118.5405060770079,131.6324409368285,142.09681446049848,150.57427449450623,157.54679575904026,163.3533783133095,168.23527169625513,172.37043046665198,175.89484307201394,178.91522970814336,181.51684794467596
DTXSID00979207,CC1=CC=C(C=C1)S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)COS(=O)(=O)C1=CC=C(C)C=C1,-455.10103013758834,193.28736753662596,121.73877316287394,151.2043617802557,175.50372120504812,194.78648293058686,210.08983233108125,222.4166301042539,232.5095731527805,240.8860492567328,247.91071381036957,253.84981861490525,258.90486684069174,263.23268751752914,266.95774146139473
DTXSID00985126,OC(=O)CSC(F)(F)C(F)F,-286.4501099585027,106.39224948295461,40.854862980228056,48.783266333514014,55.09350642048049,59.976283250522066,63.77550195487647,66.78838083222085,69.2269396616866,71.23504118058811,72.9111469484187,74.32485636031555,75.52723054736114,76.55698288387225,77.44423015452973
DTXSID101019146,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,-950.0907769567023,173.1345346729031,100.6198271643472,117.7658807076237,130.56098591979165,139.93757893641995,146.81313162760188,151.92157849331767,155.78763448877191,158.77094654157443,161.1160995512644,162.99085670544795,164.51214404693215,165.76300385904227,166.8035588220114
DTXSID101023749,FC(=O)C(F)(OC(F)(F)C(F)(F)S(F)(=O)=O)C(F)(F)OC(F)(F)C(F)(F)S(F)(=O)=O,-939.5584946403422,181.4034672531106,102.50302485934972,119.32869915846825,131.92311172040638,141.2035984973788,148.04096522028053,153.1301691038106,156.97507177915762,159.92770983041248,162.2320451073974,164.05806133808306,165.5255819515189,166.72028179221869,167.70434555122677
DTXSID101032330,[H]C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(O)(=O)=O,-707.5263425391315,148.03336137298413,77.21881248166393,90.63938040746761,100.83809005677125,108.41490783674996,114.04774145264714,118.29671702998881,121.56488989238571,124.12871990203989,126.17655386335613,127.83825551491839,129.2051507996639,130.34288688559468,131.29966874309974
DTXSID101032380,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)C(F)(F)F,-1249.9020982855338,218.75016438755688,138.81810402942168,162.08717049868432,179.55569297641475,192.42775410189344,201.90721389550038,208.9700818960258,214.32225379431733,218.45259439666668,221.6965519828823,224.28589139018652,226.38303255864372,228.1037612664019,229.53209261949146
DTXSID101032592,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F,-620.4202198032453,144.21765377258916,73.11953475572575,85.20508959117049,94.2766374535647,100.98402317555531,105.95034149724216,109.67576797377055,112.52109685302878,114.7357798481868,116.49077364292451,117.90417224516665,119.0588526052227,120.01408502986585,120.81308520845381
DTXSID101033071,OC(=O)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-550.1791766321384,144.46438234641406,73.96211085062616,89.01253487838378,100.99143099860379,110.24872750450417,117.43073508346254,123.10215448340362,127.66872979106483,131.4078172394621,134.51058153328407,137.1128047206516,139.31424721867344,141.1904009486017,142.799731568155
