SMILES,NAME,Name,LogFile
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50896692,,
FC1=CC2C(=C(C(F)(F)F)C1(F)C(F)(F)C2(F)F)C(F)(F)F,DTXSID501045620,,
FC1=C(F)C(F)=C(C(F)=C1F)C(F)(F)C(F)(F)C(F)(F)C1=C(F)C(F)=C(F)C(F)=C1F,DTXSID501045670,,
FC(F)(F)C(F)(F)C1=CC=C(C=C1)C(F)(F)C(F)(F)F,DTXSID501267795,,
FC(F)=C1C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,DTXSID501348826,,
FC1=C(F)[C@]2(F)C3=C([C@]4(F)CC[C@@]3(F)C4(F)F)[C@@]1(F)C(F)(F)C2(F)F,DTXSID501353477,,
FC1=C(F)C2=C(C(F)=C1F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,DTXSID50177978,,
FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID50181176,,
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,DTXSID50188882,,
FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,DTXSID50235603,,
CCCC1=C(CCC)C(F)(F)C1(F)F,DTXSID50298455,,
FC(F)C(F)(F)C(F)=C(F)F,DTXSID50379253,,
FC(F)(F)C(F)(F)C(F)(C=C)C(F)(F)F,DTXSID50379359,,
CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,DTXSID50387373,,
FC(F)(F)C1(F)C(F)(F)C(F)(F)C1(C(F)(F)F)C(F)(F)F,DTXSID50435489,,
FC(C(F)(F)F)C(F)(F)C1CCCC1,DTXSID50442774,,
FC(F)(CC=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=C,DTXSID50449869,,
FC1(F)CC2=CC=CC=C2C1(F)F,DTXSID50508824,,
FCC(F)(F)C(F)C(F)(F)F,DTXSID50510942,,
FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID50515856,,
FC1=CC(F)(F)C(F)(F)C(F)(F)C=C1F,DTXSID50524504,,
CC(C)(CC1=CC=CC=C1)C(F)(F)C(F)C(F)(F)F,DTXSID50528360,,
FCC1=C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,DTXSID50547011,,
